case_id,variation_id,suspect_id,culprit_id,alibi_text
heirloom,stolen,husband,gardener,"I was with the guests for most of the evening. I only returned to my study later, when I discovered the heirloom was gone."
heirloom,stolen,wife,gardener,"I was entertaining guests alongside Victor. I don’t keep track of every movement through the house, especially during evenings like that. Although, I did hear there was some dirt tracked in earlier, though I imagine that came from someone not used to being particularly careful."
heirloom,stolen,family_friend,gardener,"I remained inside with Claire and Victor for most of the evening. If anything happened, it would have required someone slipping away unnoticed. I certainly didn’t wander off tracking dirt through the house, if that is what’s being suggested."
heirloom,stolen,maid,gardener,"I noticed some dirt tracked through the living room earlier, but with guests arriving and leaving, I assumed it was nothing out of the ordinary."
heirloom,stolen,butler,gardener,The household followed its usual routine. I was occupied with service and could not account for every movement through the house at all times.
heirloom,stolen,gardener,gardener,I finished my work outside before the evening and had no reason to go into the study. I keep to my duties.
heirloom,stolen,husband,family_friend,"I spent the evening with the guests. Lillian did stop by my study earlier in the day while I was there, but it was only for a moment."
heirloom,stolen,wife,family_friend,"I was with the guests throughout the evening. Some people, however, seem quite comfortable inserting themselves into places they have no reason to be."
heirloom,stolen,family_friend,family_friend,"I did step into the study earlier to speak with Victor for a moment. It was nothing unusual, just a quick conversation before I returned to the others."
heirloom,stolen,maid,family_friend,"I did see Miss Harrow near the study earlier, though I thought Mr. Auren was with her at the time."
heirloom,stolen,butler,family_friend,The safe was not forced open. Whoever accessed it did so with knowledge of how it worked.
heirloom,stolen,gardener,family_friend,"I stayed outside all day. After the rain, I wouldn’t have stepped inside without being noticed."
heirloom,broken,husband,maid,"I was with the guests for most of the evening. The heirloom was on my desk earlier, but I hadn’t checked on it again until later."
heirloom,broken,wife,maid,"I was with the guests throughout the evening. If something happened in the study, it must have been while the staff were handling their duties."
heirloom,broken,family_friend,maid,"I remained with the others for most of the evening. If something was misplaced, it seems more like carelessness than intent."
heirloom,broken,maid,maid,"I was cleaning as usual. I don’t recall anything out of the ordinary, just the usual work that needed to be done."
heirloom,broken,butler,maid,"I did hear something from the study earlier, though I assumed it was nothing more than something being moved during cleaning."
heirloom,broken,gardener,maid,I stayed outside for most of the day. I wouldn’t know anything about what was going on inside.
heirloom,broken,husband,wife,"I was with the guests for most of the evening. The heirloom had been on my desk earlier, though I hadn’t checked on it again until later."
heirloom,broken,wife,wife,"I was with the guests throughout the evening. If anything happened in the study, I certainly wasn’t there to see it."
heirloom,broken,family_friend,wife,"I was with the others, as expected. Though I did notice Claire stepped away for a time. When she returned, she seemed… slightly less polished than usual."
heirloom,broken,maid,wife,"I was cleaning the study earlier, but I remember Mrs. Delmare stopping in for a moment. I didn’t think anything of it at the time."
heirloom,broken,butler,wife,"I did hear a noise from the study earlier, though I assumed something had simply been moved or knocked during cleaning."
heirloom,broken,gardener,wife,I stayed outside most of the day. I wouldn’t know anything about what happened inside.
heirloom,misplaced,husband,wife,"I was with the guests for most of the evening. The heirloom had been on my desk earlier, though I assumed it was still there."
heirloom,misplaced,wife,wife,"I was with the guests throughout the evening. If the heirloom is missing, then someone must have taken it."
heirloom,misplaced,family_friend,wife,"I was with the others, as expected. Though Claire does have a habit of rearranging things when they don’t suit her."
